car_id,car_photo_url1,car_photo_url2,car_photo_url3,color,color_photo_url,int_color_id,trim_id
70,https://img.sm360.ca/images/newcar/2010/Mazda/3-Sport/GS/5-Doors-HatchBack/interiorColors/2011-Mazda-3-Berline-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3-Sport/GS/5-Doors-HatchBack/interiorColors/2011-Mazda-3-Berline-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/3-Sport/GS/5-Doors-HatchBack/interiorColors/2011-Mazda-3-Berline-Tissunoir-tableaudebord.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,184
72,https://img.sm360.ca/images/newcar/2010/Mazda/5/GS/Wagon/interiorColors/2010-Mazda-5-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/5/GS/Wagon/interiorColors/2010-Mazda-5-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/5/GS/Wagon/interiorColors/2010-Mazda-5-Tissunoir-3ièmerangée.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,42
72,https://img.sm360.ca/images/newcar/2010/Mazda/5/GS/Wagon/interiorColors/2010-Mazda-5-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/5/GS/Wagon/interiorColors/2010-Mazda-5-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/5/GS/Wagon/interiorColors/2010-Mazda-5-Tissunoir-3ièmerangée.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,184
73,https://img.sm360.ca/images/newcar/2010/Mazda/6/GS---4-cylinders/Sedan/interiorColors/2010-Mazda-6-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/6/GS---4-cylinders/Sedan/interiorColors/2010-Mazda-6-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/6/GS---4-cylinders/Sedan/interiorColors/2010-Mazda-6-Tissunoir-avantetarrière.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,186
73,https://img.sm360.ca/images/newcar/2010/Mazda/6/GS---4-cylinders/Sedan/interiorColors/2010-Mazda-6-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/6/GS---4-cylinders/Sedan/interiorColors/2010-Mazda-6-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/6/GS---4-cylinders/Sedan/interiorColors/2010-Mazda-6-Tissunoir-avantetarrière.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,187
74,https://img.sm360.ca/images/newcar/2010/Mazda/CX-7/GS/CUV/interiorColors/2010-Mazda-CX7-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/CX-7/GS/CUV/interiorColors/2010-Mazda-CX7-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/CX-7/GS/CUV/interiorColors/2010-Mazda-CX7-Tissunoir-avantetarrière.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,42
74,https://img.sm360.ca/images/newcar/2010/Mazda/CX-7/GS/CUV/interiorColors/2010-Mazda-CX7-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/CX-7/GS/CUV/interiorColors/2010-Mazda-CX7-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/CX-7/GS/CUV/interiorColors/2010-Mazda-CX7-Tissunoir-avantetarrière.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,183
76,https://img.sm360.ca/images/newcar/2010/Mazda/CX-9/GS/CUV/interiorColors/2010-Mazda-CX9-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/CX-9/GS/CUV/interiorColors/2010-Mazda-CX9-Tissunoir-arrière.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/CX-9/GS/CUV/interiorColors/2010-Mazda-CX9-Tissunoir-31èmerangée.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,42
78,https://img.sm360.ca/images/newcar/2010/Mazda/MX-5/GS/Convertible/interiorColors/2011-Mazda-MX5-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/MX-5/GS/Convertible/interiorColors/2011-Mazda-MX5-Tissunoir-tableaudebord.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/MX-5/GS/Convertible/interiorColors/2011-Mazda-MX5-Tissunoir-échantillon.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,42
78,https://img.sm360.ca/images/newcar/2010/Mazda/MX-5/GS/Convertible/interiorColors/2011-Mazda-MX5-Tissunoir-avant.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/MX-5/GS/Convertible/interiorColors/2011-Mazda-MX5-Tissunoir-tableaudebord.jpg,https://img.sm360.ca/images/newcar/2010/Mazda/MX-5/GS/Convertible/interiorColors/2011-Mazda-MX5-Tissunoir-échantillon.jpg,Black Cloth,https://img.sm360.ca/images/newcar/colors/clothes/black_cloth.jpg,3,183
